Clinic Name,City,Phone Number,Website,Boka Direkt URL,Email_Found,Source_URL,Confidence,Notes
Pro laserklinik,Örebro,076-336 65 49,,https://www.bokadirekt.se/places/pro-l-19814,hello@studiocateye.se,https://www.bokadirekt.se/places/pro-l-19814,bokadirekt-profil,"OBS: Bokadirekt-profilen är ombrandad till ""Studio Cat Eye"""
Green Clinique,Helsingborg,076-876 38 76,,https://www.bokadirekt.se/places/green-clinique-59451,,https://www.bokadirekt.se/places/green-clinique-59451,,Ingen e-post publicerad (telefon/bokningssystem)
Holt Hudklinik Helsingborg,Helsingborg,042-13 03 73,,https://www.holthudklinik.se/tidsbokning,,,,Ingen e-post publicerad (telefon/bokningssystem)
Beauty Laser Klinik,Norrköping,011-12 86 27,,https://www.bokadirekt.se/places/klinik-vasastan-14551,,https://www.bokadirekt.se/places/klinik-vasastan-14551,,Ingen e-post publicerad (telefon/bokningssystem)
Setic Skincare Luleå,Luleå,070-548 82 33,,https://www.bokadirekt.se/places/setic-skincare-lulea-8933,info@seticskincare.se,https://www.bokadirekt.se/places/setic-skincare-lulea-8933,bokadirekt-profil,
DOKTORSARA,Sundbyberg,0735024168,,https://www.bokadirekt.se/places/doktorsara-30175,,https://www.bokadirekt.se/places/doktorsara-30175,,Ingen e-post publicerad (telefon/bokningssystem)
Y&G Health AB,Helsingborg,070-428 17 56,,https://www.bokadirekt.se/places/yg-health-ab-62260,,https://www.bokadirekt.se/places/yg-health-ab-62260,,Ingen e-post publicerad (telefon/bokningssystem)
SKINCERELY,Stockholm,0765525444,,https://www.bokadirekt.se/places/skincerely-24288,Info@skincerely.se,https://www.bokadirekt.se/places/skincerely-24288,bokadirekt-profil,
Lookinggood,Stockholm,08--660 92 30,,https://www.bokadirekt.se/places/lookinggood-40638,,https://www.bokadirekt.se/places/lookinggood-40638,,Ingen e-post publicerad (telefon/bokningssystem)
"Terrakliniken, Göteborg - Bokadirekt",Göteborg,087655223,,https://www.bokadirekt.se/places/terrakliniken-44965,terrakliniken@gmail.com,https://www.bokadirekt.se/places/terrakliniken-44965,bokadirekt-profil,
Andrum Hudvård,Lund,046-15 22 88,,http://www.andrumhudvard.se/kontakt/,,,,Ingen e-post publicerad (telefon/bokningssystem)
"Sundsvalls Laserklinik & FormaVita, Sundsvall",Sundsvall,+46,,https://www.bokadirekt.se/places/sundsvalls-laserklinik-formavita-8074?,,https://www.bokadirekt.se/places/sundsvalls-laserklinik-formavita-8074?,,Ingen e-post publicerad (telefon/bokningssystem)
Beauty Sky AB,Linköping,013-10 16 60,,https://www.bokadirekt.se/places/beauty-sky-ab-130276,,https://www.bokadirekt.se/places/beauty-sky-ab-130276,,Ingen e-post publicerad (telefon/bokningssystem)
Capio Skin vid Carlanderska,Göteborg,031-778 07 50,,https://patient.nu/portal/public/calendar/384238d1-1d10-11ec-91e2-fa163e329242,,,,Ingen e-post publicerad (telefon/bokningssystem)
"Dr. Ban Clinic & Academy, Linköping",Linköping,0765500863,,https://www.bokadirekt.se/places/dr-ban-clinic-academy-30260,info@drbanclinic.se,https://www.bokadirekt.se/places/dr-ban-clinic-academy-30260,bokadirekt-profil,
Göteborgs Estetisk Medicin Klinik,Göteborg,072-010 98 30,,https://www.bokadirekt.se/places/goteborgs-estetisk-medicin-klinik-30102,info@goteborgsestetiskmedicin.se,https://goteborgsestetiskmedicin.se/kontakta-oss/,domain,
Forma Vita Gävle,Gävle,0736188320,,https://www.bokadirekt.se/places/forma-vita-gavle-17332?,formavita.gavle@gmail.com,https://www.bokadirekt.se/places/forma-vita-gavle-17332?,bokadirekt-profil,
Hudvård & Massage i Lund - Elli's Wellness AB,Lund,046 211 00 03,,https://elliswellness.valei.com/,wellness@ellis.se,https://elliswellness.valei.com/,,
Kaizen Klinik,Helsingborg,070-324 41 02,,,,,,Ingen e-post publicerad (telefon/bokningssystem)
Skin Nurse Uppsala,Uppsala,070-293 38 92,,https://www.bokadirekt.se/places/skin-nurse-uppsala-17780,,https://www.bokadirekt.se/places/skin-nurse-uppsala-17780,,Ingen e-post publicerad (telefon/bokningssystem)
The K Facial,Stockholm,+46720334134,,https://www.bokadirekt.se/places/the-k-facial-132045,thekfacial@gmail.com,https://www.bokadirekt.se/places/the-k-facial-132045,bokadirekt-profil,
