Name,City,Email,Website,Phone
"Nord Clinic","","marie.carlsson@nordclinic.se","http://www.nordclinic.se",""
"Akademikliniken","Rönninge","nina.moosavi@ak.se","http://www.akademikliniken.se",""
"LT Injektionsstudio AB","Göteborg","ltinjektionsstudio@gmail.com","https://www.bokadirekt.se/places/lt-injektions-studio-54651",""
"Faceclinic West AB","Askim","info@faceclinic.se","http://www.faceclinic.se",""
"Faceclinic West AB","Askim","info@faceclinic.se","http://www.faceclinic.se",""
"Omtanke &amp; Kompetens i Varberg AB","Varberg","sofia@omtankeokompetens.se","http://www.omtankeokompetens.se",""
"Ateljé Estetik by Jennie Johnsson","Sävedalen","jennie@ateljeestetik.se","http://www.ateljeestetik.se",""
"SkinDelight Clinic AB","Stockholm","marie.norrmen@gmail.com","http://www.skindelight.se",""
"Klok Estetik AB","Stockholm","nandi.rutgard@gmail.com","http://www.klokestetik.com",""
"Ego Estetica","Höganäs","info@egoestetica.se","http://www.egoestetica.se",""
"För din egen skull","Härnösand","maria@fordinegenskull.com","http://www.fordinegenskull.com",""
"Estetik by Petra","Södra Sandby","ssk.petra@gmail.com","http://www.bokadirekt.se/places/estetik-by-petra-54421",""
"Sens à skin","Kungsbacka","lotta@sensaskin.se","http://www.sensaskin.se",""
"DrBritt Estetik","Uppsala","brernberg@gmail.com","http://www.drbrittestetik.se",""
"YouSkin Clinic","Höllviken","info@youskin.se","http://www.youskin.se",""
"Wall Medical","Stockholm","info@wallmedical.se","http://www.wallmedical.se",""
"Carma Concept","Kungsbacka","sabina@carmaconcept.se","http://www.carmaconcept.se",""
"Prima Estetik Medicin","Göteborg","neda@primaestetik.se","http://www.primaestetik.se",""
"Egoiste Gbg","Göteborg","meshkinfam.maryam@gmail.com","http://www.egoistegbg.se",""
"ByThereseForYou","Köping","info@bythereseforyou.com","http://www.bythereseforyou.com",""
"Ça-Va Clinique","Hovås","gunnar.brandrup@gmail.com","http://www.ca-va.se",""
"Nordiska Kliniken","Stockholm","silvia.galaz@nordiskakliniken.se","http://www.nordiskakliniken.se",""
"Entouch","Stockholm","annika.harlen@entouch.se","http://www.entouch.se",""
"Elite Clinic","Göteborg","chavoshifanar@hotmail.com","http://www.eliteclinic.se",""
"Cfo clinic","Umeå","cecilia.forsner@gmail.com","http://www.bokadirekt.se/places/cfo-clinic-34672",""
"Sculpté – Klinik &amp; Akademi","Göteborg","soodhuntoha@yahoo.com","http://www.sculpte.se",""
"Klinik Wall","Sollefteå","johanna@klinikwall.se","http://www.klinikwall.se",""
"IBA Estetik","Eskilstuna","ibaestetikab@hotmail.com","http://www.ibaestetik.se",""
"StayYou by Marlene","marlene@horngard.se","marlene@horngard.se","http://www.stayyou.se",""
"Gothia Kliniken","Göteborg","gothiakliniken@gmail.com","http://www.gothiakliniken.se",""
"Forma Vita Dalarna","Borlänge","formavita.dalarna@gmail.com","http://www.formavita.se",""
"Adel Estetik","Göteborg","ludvigclase@gmail.com","http://www.adelestetik.se",""
"Clinic Charisma","Ljungby","mj@cliniccharisma.se","http://www.cliniccharisma.se",""
"Global Aesthetic","Sundbyberg","emelie@ingnas.se","http://www.globalaesthetic.se",""
"Tälje MaxCare AB","Södertälje","leif.mattisson@talje-maxcare.se","http://www.instagram.com/maxcare_",""
"Blanche klinik AB","Hovås","caroline@blancheklinik.se","http://www.blancheklinik.se",""
"Christines Klinik","Ystad","kontakt@christinesklinik.se","http://www.christinesklinik.se",""
"Jixt","Bromma","jixtkonsult.ab@gmail.com","http://www.jixt.se",""
"Fillers by me Västerås","Västerås","josefin@fillersbyme.se","http://www.fillersbyme.se",""
"Dr. Ferlin Health &amp; Esthetics","Stockholm","info@drferlin.se","http://www.drferlin.se",""
"Klinik Täby Park","Täby","mai@kliniktabypark.se","http://www.kliniktabypark.se",""
"Akademikliniken","Stockholm","jessica-olsen1@hotmail.com","http://www.ak.se",""
"Claire Lind Estetik","Åkersberga","byclairelind@hotmail.com","http://www.clairelind.se",""
"Skinmall Göteborg","Göteborg","info@skinmall.se","http://www.skinmall.se",""
"Silhuetts Klinik","Mullsjö","hannakanerfalk@gmail.com","http://www.lookingperfect.se",""
"Your Clinic i Stockholm AB","Stockholm","lena.lind@yourclinic.se","http://www.yourclinic.se",""
"Derma Beauty Clinic","Stockholm","avesta.kaitoly87@gmail.com","http://www.dermabeautyclinic.se",""
"IP Beauty","Kungälv","ipbeautyswe@gmail.com","http://www.ipbeautyswe.se",""
"Åmåls Estetiska &amp; Piercing","Åmål","","",""
"MIKI CLINIC","Borås","ulrika@mikiclinic.se","http://www.mikiclinic.se",""
"Karlstads Kirurgiska Laserklinik","Forshaga","laser@karlstadlaserklinik.se","http://www.karlstadlaserklinik.se",""
"Karlstads Kirurgiska Laserklinik","Karlstad","laser@karlstadlaserklinik.se","http://www.karlstadlaserklinik.se",""
"Karlstads Kirurgiska Laserklinik","Karlstad","laser@karlstadlaserklinik.se","http://www.karlstadlaserklinik.se",""
"Skönhetskliniken BEVARO","Göteborg","info@skonhetskliniken.se","http://www.skonhetskliniken.se",""
"Svenska Hudvårdskliniken","Visby","eva@wagnhester.se","http://www.svenskahk.se",""
"Miderma Clinic AB","Stockholm","info@midermaclinic.se","http://www.midermaclinic.se",""
"RelyOn Beauty Clinic","Örebro","support@relyonclinic.se","http://www.relyonclinic.se",""
"Inject Art","Göteborg","injectartbymarie@gmail.com","http://www.injectart.se",""
"Läkarhuset Hötorgscity","Stockholm","samineh_o@hotmail.com","http://www.lakarhuset.se",""
"Art By S Skin &amp; Beauty Clinic","Kungsbacka","info.artbys@gmail.com","http://www.bokadirekt.se/places/art-by-s-skin-beauty-clinic-32058",""
"DOKTORSARA","Stockholm","sara.algaho@gmail.com","http://www.bokadirekt.se/places/doktorsara-30175",""
"Nytorgstandläkarna","Stockholm","sara.matak@gmail.com","http://www.nytand.se",""
"Face Design Kalmar","Kalmar","susanne@facedesignkalmar.se","http://www.facedesignkalmar.se",""
"Nordic Skin Klinik","Sigtuna","alex@nordicskinklinik.se","http://www.nordicskinklinik.se",""
"FROG.NU","Enskede","ximena@frog.nu","http://www.frog.nu","00168376041"
"Hudläkaren i Umeå AB","Umeå","info@hudlakaren.se","http://www.hudlakaren.se",""
"My Clinic Sweden AB","Stockholm","marvy@myclinic.nu","http://www.myclinic.nu",""
"My Clinic Sweden AB","Stockholm","sabina_city@hotmail.com","http://www.myclinic.nu",""
"Örebro Estetik AB","Örebro","info@orebroestetik.se","http://www.orebroestetik.se",""
"Stockholm Platikkirurgi","Stockholm","info@stockholmplastikkirurgi.com","http://www.stockholmplastikkirurgi.com",""
"Beautaholic By Ahrnberg AB","Lerum","info@beautaholic.se","http://www.beautaholic.se",""
"Akademikliniken","Kungälv","jennifer.selling@ak.se","http://www.ak.se",""
"Vital Esthetique Norway/Sweden","Grebbestad","vitalesthetique@outlook.com","https://www.bokadirekt.se/places/vital-esthetique-grebbestad-22239",""
"Senso Estetik AB","Sjömarken","info@senso.se","http://www.senso.se",""
"Optima Tandvård","Täby","rm@optimatandvard.se","http://www.optimatandvard.se",""
"Skin Shape Klinik","Västerås","sahartaqwaei.st@gmail.com","http://www.skinshape.se",""
"Klinik Vital","Växjö","abir_tadares@live.se","http://www.bokadirekt.se/places/klinik-vital-vaxjo-50328",""
"Växjö laserklinik","Växjö","jesnygren@hotmail.com","http://www.vaxjolaserklinik.se",""
"Mandy Medical","Sollentuna","info@mandymedical.se","http://www.mandymedical.se",""
"byKrona","Luleå","info@bykrona.se","http://www.bykrona.se",""
"","Skellefteå","","",""
"","Gällivare","","",""
"","Kiruna","","",""
"byKrona","Luleå","info@bykrona.se","http://www.bykrona.se",""
"","Skellefteå","","",""
"","Gällivare","","",""
"","Kiruna","","",""
"Caelia Clinic","Strängnäs","therese@caelia.se","http://www.caelia.se",""
"Faceclinic West AB","Askim","info@faceclinic.se","http://www.faceclinic.se","00168376041"
"KH ESTETIK","Stockholm","havrest@khestetik.se","https://www.bokadirekt.se/places/kh-estetik-gardet-38754",""
"Klinik Estetik i Kalmar","Kalmar","info@klinikestetikkalmar.se","http://www.klinikestetikkalmar.se",""
"Akademikliniken","Göteborg","malin.medin@ak.se","http://www.akademikliniken.se","00168376041"
"Akademikliniken","Göteborg","sandra.sundqvist@ak.se","http://www.akademikliniken.se",""
"Akademikliniken","Stockholm","ewelina.bradley@ak.se","http://www.akademikliniken.se",""
"Klinik By Elle AB","Malmö","klinikbyelle@gmail.com","http://www.klinikbyelle.se",""
"","Hörby","","",""
"Citylaser","Göteborg","info@citylaser.com","http://www.citylaser.se","00168376041"
"Setic Skincare","Piteå","info@seticskincare.se","http://www.seticskincare.se",""
"Mase Clinic AB","Stockholm","info@maseclinic.se","http://www.maseclinic.com","00168376041"
"My Clinic","Stockholm","kundtjanst@myclinic.nu","https://www.myclinic.nu","00168376041"
"My Clinic","Stockholm","kundtjanst@myclinic.nu","https://www.myclinic.nu","00168376041"
